track_id,artist_name,track_name,duration_ms,acousticness,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,danceability
5Smmg9SpxnawbuYPKSNcmx,Bill Charlap Trio,Day Dream,373840,0.909,0.0951,0.89,1,0.117,-23.511,1,0.0388,100.265,4,0.093,0
3UeNIqq0ujRBtJOrqxJcMj,The Uptown Players,Solitude,150597,0.973,0.0841,0.962,5,0.0995,-20.033,0,0.0319,105.973,4,0.159,0
1D7BVIjNGLW0dBlD5NEmev,CMC 3,Everything To Me,324250,0.943,0.162,0.897,3,0.178,-17.787,1,0.0437,178.721,3,0.153,0
7Imv2O9gkwpZJcjKEcSqZ1,Keith Jarrett Trio,You've Changed,493186,0.886,0.129,0.852,8,0.132,-26.813,1,0.0467,107.853,4,0.185,0
2PVMfghJc3ayLHjGbGjg3J,Martin Landström,Clear as Autumn Nights,301500,0.716,0.135,0.0201,5,0.0822,-17.955,0,0.0338,104.02,4,0.0931,0
73LXSkZdpjWC4XUDTju8LK,Tribute Trio,These Foolish Things,290709,0.945,0.142,0.914,10,0.111,-18.201,1,0.0421,112.211,4,0.131,0
6Acd5lhILmBOlhjGDFEUqz,Manor Blue,Sails,207663,0.929,0.264,0.78,7,0.1,-14.794,0,0.0355,118.351,4,0.181,0
4Bv9PjhIhp2sQE4S7dEAxR,Lydia Baskow Trio,Nuages ​​Creux,157500,0.775,0.0331,0.00863,0,0.0938,-21.254,1,0.041,98.321,4,0.212,0
7bsrxWD78NPHkQGdWDtVKA,South North,I've Never Been in Love Before,226043,0.979,0.111,0.921,10,0.0938,-21.362,1,0.0348,107.154,4,0.156,0
71qHUeI08SIXKXzSrOqcxj,Bedford and 7th,A Few Days Ahead,185882,0.92,0.157,0.595,7,0.0885,-19.482,0,0.0317,101.94,4,0.209,0
3fiPnFQRoGCHnHijZs21br,David Hazeltine,I'll Only Miss Her,286826,0.959,0.106,0.862,1,0.115,-23.86,1,0.034,136.604,4,0.148,0
7df0Uedn5GeMUWObiYxqFe,Vendla,Don't Open Your Eyes,175881,0.978,0.274,0.366,11,0.118,-13.807,0,0.0337,111.585,4,0.262,0
6L620MzHPZRTYKqi1mXiaw,Keanan Field Group,"I Loves You, Porgy",210292,0.972,0.0579,0.931,7,0.11,-22.358,0,0.0358,103.85,4,0.173,0
5s2sEbhxWaiYJF1ko6iMXs,Mandevilla,Farewell,239687,0.955,0.197,0.939,7,0.105,-17.524,0,0.0434,112.819,5,0.113,0
3d5AaKfto6cBmNjBVzBgFC,Vince Glen,Coffee Break,304813,0.967,0.116,0.623,10,0.108,-19.228,0,0.0328,79.63,4,0.0437,0
